Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
140033168,436854,433739,2,2014-01-24,14:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,25
140033290,428116,426651,2,2014-01-24,19:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Female,24
140032882,433210,436160,2,2014-01-24,14:46:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,59
140036248,440776,428637,2,2014-01-25,17:00:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,24
140035251,429697,437811,1,2014-01-26,13:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Male,6
140035672,419941,434106,1,2014-01-26,17:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,32
140035786,428717,435610,2,2014-01-26,20:05:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,49
140035786,428717,435610,2,2014-01-26,20:05:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,7
140035856,437893,436505,1,2014-01-26,18:45:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,21
140037203,428404,434383,4,2014-01-27,19:15:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,19
140046620,429388,435423,2,2014-01-27,15:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
140046620,429388,435423,2,2014-01-27,15:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,35
140036447,427389,435013,1,2014-01-27,08:13:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Male,4
140037203,428404,434383,4,2014-01-27,19:15:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,33
140037248,432098,435594,2,2014-01-27,18:25:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,62
140037552,431243,432312,2,2014-01-28,06:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Serious,Male,36
140037652,428810,437790,2,2014-01-28,08:13:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,38
140038859,420505,440234,2,2014-01-28,16:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
140038760,428404,435726,2,2014-01-28,18:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
11S1208,432248,427099,3,2014-01-28,18:28:00,Motorway,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,38
140040252,429003,433572,1,2014-01-29,17:20:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,70
140041898,427456,438577,1,2014-01-30,19:00:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,18
140045106,429929,437044,2,2014-01-31,15:06:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,34
140043327,436564,435578,2,2014-01-31,15:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,34
140043770,429791,433962,1,2014-01-31,21:12:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,26
140044522,430493,433709,1,2014-02-01,15:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Male,81
140044738,426571,433921,2,2014-02-01,17:28:00,Unclassified,Wet/Damp,Darkness: No street lighting,Other,Pedal cycle,Driver,Slight,Male,26
140044635,423895,434277,2,2014-02-01,17:40:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,53
140044486,421728,433535,1,2014-02-01,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,24
140043796,429798,433788,2,2014-02-01,00:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,50
140043796,429798,433788,2,2014-02-01,00:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver,Slight,Male,34
140044253,424472,445188,2,2014-02-01,10:15:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
140045802,423802,437485,2,2014-02-02,01:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,28
1221002,424112,428080,1,2014-02-02,15:31:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,28
140045226,431417,434087,2,2014-02-02,07:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Serious,Male,64
140045447,435892,436311,3,2014-02-02,12:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,46
140045802,423802,437485,2,2014-02-02,01:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,45
140047033,429389,434938,2,2014-02-03,08:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,49
140047588,431912,434799,2,2014-02-03,19:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,28
140047598,434838,433455,1,2014-02-03,18:37:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Male,72
140047588,431912,434799,2,2014-02-03,19:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,31
140062993,428582,431546,2,2014-02-04,12:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,39
140048324,429539,439287,2,2014-02-04,10:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,44
140051922,432100,437000,2,2014-02-04,09:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
140050974,427984,435223,1,2014-02-04,12:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,25
140049451,424165,429365,2,2014-02-04,08:00:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Serious,Female,26
140048209,435914,438028,1,2014-02-04,10:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,78
140050468,430653,432612,1,2014-02-05,14:25:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Slight,Male,17
140050515,427320,437204,3,2014-02-05,18:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,49
140050515,427320,437204,3,2014-02-05,18:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,38
140050662,428837,434631,2,2014-02-05,18:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Serious,Male,19
140050866,431766,434944,2,2014-02-05,21:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,13
140050866,431766,434944,2,2014-02-05,21:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,10
140059087,426081,436902,1,2014-02-05,16:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
140052956,424274,428348,2,2014-02-06,21:10:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Female,26
140054877,430153,438719,1,2014-02-06,19:00:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,32
140052151,426711,431721,2,2014-02-06,18:11:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Slight,Male,30
140051258,430111,437531,1,2014-02-06,10:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,83
140051388,424917,434481,2,2014-02-06,08:40:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
